Seconds (synced)	Acc x	Acc y	Acc z
8.858598	-71.300781	-41.140625	1008.894531
8.866617	-71.160156	-41.203125	1009.078125
8.874636	-71.109375	-41.296875	1008.929688
8.882655	-71.234375	-41.246094	1008.8125
8.890674	-71.089844	-41.28125	1009.242188
8.898693	-71.179688	-41.160156	1009.410156
8.906712	-71.144531	-41.03125	1009.164062
8.914731	-71.105469	-41.191406	1009.289062
8.92275	-71.210938	-41.269531	1009.007812
8.930769	-71.203125	-41.171875	1009.058594
8.938788	-71.144531	-41.074219	1009.058594
8.946807	-71.304688	-41.179688	1008.734375
8.954826	-71.265625	-41.210938	1008.691406
8.962845	-71.152344	-41.210938	1008.707031
8.970864	-71.148438	-41.242188	1008.570313
8.978883	-71.289062	-41.195312	1008.664063
8.986902	-71.3125	-41.246094	1009.046875
8.994921	-71.253906	-41.222656	1008.703125
9.00294	-71.367188	-41.261719	1008.753906
9.010917	-71.28125	-41.082031	1008.820312
9.018936	-71.226562	-41.242188	1009.101562
9.026955	-71.148438	-41.191406	1009.125
9.034974	-71.226562	-41.191406	1009.046875
9.042993	-71.199219	-41.398438	1008.894531
9.051012	-71.246094	-41.417969	1009.035156
9.059031	-71.085938	-41.078125	1008.949219
9.06705	-71.117188	-41.152344	1009.035156
9.075069	-71.121094	-41.269531	1008.964844
9.083088	-71.382812	-41.152344	1009.089844
9.091107	-71.3125	-41.316406	1008.929688
9.099126	-71.324219	-41.480469	1008.832031
9.107145	-71.304688	-41.382812	1008.882812
9.115164	-71.164062	-41.398438	1008.808594
9.123183	-71.214844	-41.230469	1008.820312
9.131202	-71.140625	-41.378906	1009.082031
9.139221	-71.269531	-41.308594	1008.757813
9.14724	-71.328125	-41.304688	1008.871094
9.155259	-71.265625	-41.328125	1009.148437
9.163278	-71.292969	-41.25	1008.992188
9.171297	-71.25	-41.332031	1009.082031
9.179316	-71.203125	-41.527344	1008.914062
9.187335	-71.28125	-41.4375	1009.070312
9.195354	-71.1875	-41.335938	1008.921875
9.203373	-71.28125	-41.21875	1009.074219
9.211392	-71.300781	-41.449219	1008.976562
9.219411	-71.242188	-41.34375	1008.757813
9.22743	-71.394531	-41.417969	1008.832031
9.235449	-71.410156	-41.449219	1008.738281
9.243468	-71.132812	-41.296875	1008.8125
9.251487	-71.050781	-41.175781	1008.773437
9.259506	-71.347656	-41.097656	1008.804688
9.267525	-71.277344	-41.152344	1008.65625
9.275544	-71.382812	-41.28125	1008.660156
9.283563	-71.195312	-41.253906	1008.550781
9.291582	-71.207031	-41.265625	1008.980469
9.299601	-71.292969	-41.175781	1008.847656
9.30762	-71.335938	-41.046875	1008.8125
9.315639	-71.382812	-41.054688	1008.972656
9.323658	-71.183594	-41.144531	1008.9375
9.331677	-71.144531	-41.292969	1009.207031
9.339696	-71.292969	-41.132812	1009.421875
9.347715	-71.320312	-41.132812	1009.28125
9.355734	-71.132812	-41.128906	1009.144531
9.363753	-71.03125	-41.109375	1009.046875
9.371772	-71.074219	-41.238281	1008.886719
9.379791	-71.277344	-41.214844	1008.734375
9.38781	-71.175781	-41.207031	1008.628906
9.395829	-71.199219	-41.269531	1008.597656
9.403848	-71.1875	-41.230469	1008.777344
9.411867	-71.207031	-41.199219	1008.898438
9.419886	-71.210938	-41.179688	1009.003906
9.427905	-71.320312	-41.125	1008.941406
9.435924	-71.320312	-41.371094	1009.261719
9.443943	-71.167969	-41.34375	1009.078125
9.451962	-71.3125	-41.207031	1009.257812
9.459981	-71.285156	-41.214844	1009.210938
9.468	-71.078125	-41.273438	1008.894531
9.476019	-71.269531	-41.453125	1009.019531
9.484038	-71.328125	-41.40625	1008.785156
9.492057	-71.226562	-41.328125	1008.925781
9.500076	-71.214844	-41.332031	1009.027344
9.508095	-71.011719	-41.308594	1009.207031
9.516114	-71.226562	-41.226562	1009.066406
9.524133	-71.195312	-41.203125	1008.71875
9.532152	-71.261719	-41.304688	1008.625
9.540171	-71.21875	-41.261719	1008.574219
9.54819	-71.390625	-41.359375	1008.839844
9.556209	-71.144531	-41.472656	1008.761719
9.564228	-71.140625	-41.3125	1008.585937
9.572247	-71.136719	-41.34375	1008.796875
9.580266	-71.121094	-41.273438	1008.855469
9.588285	-71.140625	-41.273438	1008.894531
9.596304	-71.246094	-41.289062	1009.148437
9.604323	-71.324219	-41.378906	1009.183594
9.612342	-71.257812	-41.316406	1009.222656
9.620361	-71.109375	-41.339844	1009.109375
9.62838	-71.320312	-41.234375	1009.308594
9.636399	-71.21875	-41.355469	1008.898438
9.644418	-71.300781	-41.300781	1008.671875
9.652437	-71.148438	-41.410156	1009.0
9.660456	-71.121094	-41.214844	1008.945313
9.668475	-71.050781	-40.964844	1008.839844
9.676494	-71.144531	-40.980469	1008.832031
9.684513	-71.113281	-41.125	1008.902344
9.692532	-71.128906	-41.117188	1008.96875
9.700551	-71.042969	-41.097656	1009.09375
9.70857	-71.238281	-41.128906	1008.988281
9.716589	-71.414062	-41.210938	1009.242188
9.724608	-71.253906	-41.214844	1009.242188
9.732627	-71.273438	-41.023438	1009.15625
9.740646	-71.265625	-41.105469	1009.097656
9.748665	-71.195312	-41.15625	1009.175781
9.756684	-71.253906	-41.316406	1009.105469
9.764703	-71.308594	-41.28125	1008.929688
9.772722	-71.253906	-41.300781	1008.996094
9.780741	-71.316406	-41.355469	1009.125
9.78876	-71.242188	-41.136719	1008.726562
9.796779	-71.203125	-41.050781	1008.761719
9.804798	-71.296875	-41.136719	1009.039063
9.812817	-71.425781	-41.207031	1009.003906
9.820836	-71.320312	-41.289062	1008.9375
9.828855	-71.316406	-41.136719	1008.824219
9.836874	-71.257812	-41.132812	1008.871094
9.844893	-71.183594	-41.148438	1008.921875
